Filepath, Skipped Types, AnnTotal, #Annotations, #SkippedTypes, #NoneSkips, #InvalidSkips, #MissingPath
/projects/dataclasses-json/dataclasses_json/cfg.py,"{'None', 'typing.list'}",80,(16*5),8,5,3,0
/projects/docstring_parser/docstring_parser/parser.py,set(),15,(3*5),0,0,0,0
/projects/flutes/flutes/math.py,set(),15,(3*5),0,0,0,0
/projects/flutils/flutils/strutils.py,set(),65,(13*5),0,0,0,0
/projects/flutils/flutils/packages.py,{'None'},60,(12*5),11,11,0,0
/projects/flutils/flutils/setuputils/cmd.py,{'None'},35,(7*5),4,4,0,0
/projects/httpie/httpie/models.py,{'None'},80,(16*5),5,5,0,0
/projects/httpie/httpie/cli/exceptions.py,set(),0,(0*5),0,0,0,0
/projects/httpie/httpie/plugins/base.py,"{'typing.Optional[datetime.datetime.datetime]', 'None'}",60,(12*5),13,12,1,0
/projects/httpie/httpie/cli/constants.py,set(),0,(0*5),0,0,0,0
/projects/httpie/httpie/output/formatters/json.py,{'None'},20,(4*5),1,1,0,0
/projects/httpie/httpie/plugins/manager.py,{'None'},65,(13*5),1,1,0,0
/projects/httpie/httpie/output/formatters/headers.py,{'None'},15,(3*5),2,2,0,0
/projects/isort/isort/comments.py,{'None'},35,(7*5),1,1,0,0
/projects/isort/isort/exceptions.py,"{'None', 'numpy.ndarray'}",110,(22*5),16,15,1,0
/projects/mimesis/mimesis/builtins/it.py,{'None'},15,(3*5),1,1,0,0
/projects/mimesis/mimesis/builtins/uk.py,set(),15,(3*5),0,0,0,0
/projects/mimesis/mimesis/providers/development.py,"{'None', 'typing.list'}",35,(7*5),4,3,1,0
/projects/mimesis/mimesis/providers/code.py,{'None'},65,(13*5),13,13,0,0
/projects/mimesis/mimesis/providers/transport.py,"{'pandas.DataFrame', 'None'}",50,(10*5),11,10,1,0
/projects/mimesis/mimesis/providers/clothing.py,"{'None', 'typing.list'}",25,(5*5),3,2,1,0
/projects/mimesis/mimesis/builtins/nl.py,set(),25,(5*5),0,0,0,0
/projects/mimesis/mimesis/providers/hardware.py,{'None'},65,(13*5),10,10,0,0
/projects/mimesis/mimesis/builtins/da.py,set(),10,(2*5),0,0,0,0
/projects/mimesis/mimesis/providers/units.py,{'None'},30,(6*5),6,6,0,0
/projects/mimesis/mimesis/exceptions.py,{'None'},45,(9*5),6,6,0,0
/projects/mimesis/mimesis/enums.py,set(),0,(0*5),0,0,0,0
/projects/mimesis/mimesis/builtins/base.py,{'None'},10,(2*5),2,2,0,0
/projects/mimesis/mimesis/builtins/de.py,set(),15,(3*5),0,0,0,0
/projects/mimesis/mimesis/shortcuts.py,set(),10,(2*5),0,0,0,0
/projects/mimesis/mimesis/builtins/pt_br.py,{'None'},55,(11*5),2,2,0,0
/projects/py-backwards/py_backwards/transformers/class_without_bases.py,"{'typing.Tuple[typing_extensions.Literal,typing_extensions.Literal]', 'typing.Generator[typing.Any,None,None]'}",10,(2*5),2,1,1,0
/projects/py-backwards/py_backwards/transformers/import_pathlib.py,set(),0,(0*5),0,0,0,0
/projects/py-backwards/py_backwards/transformers/python2_future.py,"{'None', 'typing.Tuple[typing.Any,...]', 'typing.Tuple[typing_extensions.Literal,typing_extensions.Literal]'}",15,(3*5),4,2,2,0
/projects/py-backwards/py_backwards/transformers/string_types.py,"{'typing.Tuple[typing_extensions.Literal,typing_extensions.Literal]'}",15,(3*5),1,0,1,0
/projects/py-backwards/py_backwards/transformers/variables_annotations.py,"{'typing.Tuple[typing_extensions.Literal,typing_extensions.Literal]', 'None'}",15,(3*5),3,2,1,0
/projects/py-backwards/py_backwards/transformers/yield_from.py,"{'typing.Tuple[typing.Any,...]', 'typing.Union[typing_extensions.Literal,typing_extensions.Literal]', 'LN', 'None'}",85,(17*5),12,5,6,1
