ConfigurationId_x,ProjectName,Coverage_x,ConfigurationId_y,Coverage_y
no_deeptyper,dataclasses-json,0.875,no_deeptyper,0.875
no_deeptyper,dataclasses-json,0.875,rt0.1_rndch,0.875
no_deeptyper,dataclasses-json,0.875,rt0.2_rndch,0.875
no_deeptyper,dataclasses-json,0.875,rt0.3_rndch,0.875
no_deeptyper,dataclasses-json,0.875,rt0_rndch,0.875
rt0.1_rndch,dataclasses-json,0.875,no_deeptyper,0.875
rt0.1_rndch,dataclasses-json,0.875,rt0.1_rndch,0.875
rt0.1_rndch,dataclasses-json,0.875,rt0.2_rndch,0.875
rt0.1_rndch,dataclasses-json,0.875,rt0.3_rndch,0.875
rt0.1_rndch,dataclasses-json,0.875,rt0_rndch,0.875
rt0.2_rndch,dataclasses-json,0.875,no_deeptyper,0.875
rt0.2_rndch,dataclasses-json,0.875,rt0.1_rndch,0.875
rt0.2_rndch,dataclasses-json,0.875,rt0.2_rndch,0.875
rt0.2_rndch,dataclasses-json,0.875,rt0.3_rndch,0.875
rt0.2_rndch,dataclasses-json,0.875,rt0_rndch,0.875
rt0.3_rndch,dataclasses-json,0.875,no_deeptyper,0.875
rt0.3_rndch,dataclasses-json,0.875,rt0.1_rndch,0.875
rt0.3_rndch,dataclasses-json,0.875,rt0.2_rndch,0.875
rt0.3_rndch,dataclasses-json,0.875,rt0.3_rndch,0.875
rt0.3_rndch,dataclasses-json,0.875,rt0_rndch,0.875
rt0_rndch,dataclasses-json,0.875,no_deeptyper,0.875
rt0_rndch,dataclasses-json,0.875,rt0.1_rndch,0.875
rt0_rndch,dataclasses-json,0.875,rt0.2_rndch,0.875
rt0_rndch,dataclasses-json,0.875,rt0.3_rndch,0.875
rt0_rndch,dataclasses-json,0.875,rt0_rndch,0.875
no_deeptyper,docstring_parser,0.8566666666666667,no_deeptyper,0.8566666666666667
no_deeptyper,docstring_parser,0.8566666666666667,rt0.1_rndch,0.8999999999999996
no_deeptyper,docstring_parser,0.8566666666666667,rt0.2_rndch,0.8999999999999996
no_deeptyper,docstring_parser,0.8566666666666667,rt0.3_rndch,0.8999999999999996
no_deeptyper,docstring_parser,0.8566666666666667,rt0_rndch,0.8999999999999996
rt0.1_rndch,docstring_parser,0.8999999999999996,no_deeptyper,0.8566666666666667
rt0.1_rndch,docstring_parser,0.8999999999999996,rt0.1_rndch,0.8999999999999996
rt0.1_rndch,docstring_parser,0.8999999999999996,rt0.2_rndch,0.8999999999999996
rt0.1_rndch,docstring_parser,0.8999999999999996,rt0.3_rndch,0.8999999999999996
rt0.1_rndch,docstring_parser,0.8999999999999996,rt0_rndch,0.8999999999999996
rt0.2_rndch,docstring_parser,0.8999999999999996,no_deeptyper,0.8566666666666667
rt0.2_rndch,docstring_parser,0.8999999999999996,rt0.1_rndch,0.8999999999999996
